Coords	Name	MIRNA	white_1_trimmed	white_2_trimmed	red_1_trimmed	red_2_trimmed	SRR1586419_trimmed	SRR1586420_trimmed	SRR1586421_trimmed	SRR1586422_trimmed	SRR1586423_trimmed	SRR1586424_trimmed	SRR1586425_trimmed	SRR1586426_trimmed
Fvb1:2264028-2264454	User_locus_58	N	70	100	48	34	10	59	34	241	208	595	411	147
Fvb1:2274839-2275325	User_locus_59	N	8	1	3	1	7	17	7	40	9	86	40	2
Fvb1:2311162-2311543	User_locus_60	N	54	34	22	29	9	29	7	54	90	131	73	36
Fvb1:2336657-2337069	User_locus_61	N	221	122	111	40	25	85	7	62	166	344	175	52
Fvb1:2362714-2363068	User_locus_62	N	7	19	17	8	2	3	8	6	7	31	11	0
Fvb1:2371811-2372226	User_locus_63	N	3417	3375	4322	2895	1582	5060	3680	13137	8641	19224	17109	4944
Fvb1:2373340-2373541	User_locus_64	N	305	236	219	159	4	47	8	182	397	905	416	73
Fvb1:2396282-2396979	User_locus_65	N	1827	1872	2788	1864	1784	5309	4287	12964	3793	12878	9173	4365
Fvb1:2419781-2420056	User_locus_66	N	4	2	4	2	3	4	0	10	7	20	21	7
Fvb1:2430026-2430498	User_locus_67	N	17	36	18	18	12	30	33	218	185	198	59	9
Fvb1:2430540-2430964	User_locus_68	N	18	24	3	9	0	17	7	47	23	51	56	17
Fvb1:2431366-2431862	User_locus_69	N	32	15	23	6	4	31	0	10	28	49	33	0
Fvb1:2431918-2432226	User_locus_70	N	84	96	36	42	9	25	79	108	135	182	31	0
Fvb1:2432555-2433252	User_locus_71	N	64	54	51	18	8	46	2	81	77	135	76	6
Fvb1:2435265-2435962	User_locus_72	N	22	8	7	3	0	13	0	8	2	34	31	4
Fvb1:2438334-2438738	User_locus_73	N	5	12	4	5	0	1	0	12	15	92	22	10
Fvb1:2438912-2439603	User_locus_74	N	3	2	1	3	7	0	1	0	2	15	9	0
Fvb1:2446793-2447384	User_locus_75	N	6	7	5	5	0	17	0	35	15	22	28	20
Fvb1:2451892-2452339	User_locus_76	N	51	38	30	14	2	47	3	51	53	113	39	12
Fvb1:2463311-2463731	User_locus_77	N	32	13	12	5	0	5	0	61	8	79	53	23
Fvb1:2490492-2491187	User_locus_78	N	13	22	12	3	7	51	10	25	22	54	23	13
Fvb1:2502652-2503035	User_locus_79	N	72	45	32	0	12	149	43	193	226	297	231	18
Fvb1:2551948-2552360	User_locus_80	N	25	25	15	11	18	9	4	12	11	18	17	2
Fvb1:2587428-2587891	User_locus_81	N	117	86	70	22	12	53	20	80	84	285	159	14
Fvb1:2619385-2619966	User_locus_82	N	21	23	19	9	7	9	1	51	8	56	58	21
Fvb1:2621090-2621516	User_locus_83	N	41	9	30	15	44	5	2	128	119	190	143	104
Fvb1:2667568-2668265	User_locus_84	N	16	19	2	7	67	272	211	2781	133	946	829	154
Fvb1:2693944-2694394	User_locus_85	N	25	23	2	8	3	44	8	20	6	7	18	5
Fvb1:2706572-2707070	User_locus_86	N	1	0	1	0	0	0	0	37	3	82	2	1
Fvb1:2743595-2744013	User_locus_87	N	37	43	2	8	0	443	2	299	323	386	374	192
Fvb1:2859648-2860089	User_locus_88	N	1	1	1	3	0	0	1	6	5	6	5	2
Fvb1:2860110-2860485	User_locus_89	N	7	14	4	2	0	0	4	5	11	8	9	8
Fvb1:2957408-2958106	User_locus_90	N	12	6	7	13	4	143	5	735	9	108	20	16
Fvb1:2978556-2979254	User_locus_91	N	8	4	4	2	0	0	0	0	1	3	8	2
Fvb1:3077749-3078169	User_locus_92	N	19	3	3	0	3	8	0	26	9	19	11	7
Fvb1:3135252-3135630	User_locus_93	N	69	66	34	9	27	176	20	117	198	346	518	77
Fvb1:3135653-3136094	User_locus_94	N	55	22	11	9	12	51	72	236	100	187	75	17
Fvb1:3136103-3136535	User_locus_95	N	13	21	12	1	23	19	6	131	9	74	33	3
Fvb1:3208542-3208718	User_locus_96	N	1	1	5	1	0	0	0	3	0	2	1	1
Fvb1:3296556-3297211	User_locus_97	N	0	0	1	0	0	11	2	19	3	8	3	2
Fvb1:3321702-3321851	User_locus_98	N	0	0	0	0	0	0	0	1	0	0	0	0
Fvb1:3373662-3374071	User_locus_99	N	66	99	59	51	34	74	27	247	130	339	257	155
Fvb1:3374073-3374449	User_locus_100	N	48	52	27	29	25	32	29	62	57	145	78	27
Fvb1:3393387-3393567	User_locus_101	N	2	1	4	0	2	8	0	0	3	0	0	0
Fvb1:3421209-3421626	User_locus_102	N	0	10	16	17	4	43	3	15	9	41	12	0
Fvb1:3466445-3466922	User_locus_103	N	35	20	39	16	5	6	0	47	26	154	76	33
Fvb1:3473195-3473588	User_locus_104	N	0	1	1	0	0	4	2	0	0	1	4	1
Fvb1:3489779-3490476	User_locus_105	N	13	9	4	4	1	11	3	28	20	25	23	14
Fvb1:3525496-3526036	User_locus_106	N	128	91	86	41	27	63	29	233	133	471	249	73
Fvb1:3590192-3590882	User_locus_107	N	1	4	4	3	33	50	26	59	67	92	26	7
Fvb1:3606655-3607353	User_locus_108	N	7	2	4	1	3	22	0	15	12	19	13	2
Fvb1:3625510-3625767	User_locus_109	N	95	115	162	94	358	1296	476	662	713	708	491	113
Fvb1:3645045-3645330	User_locus_110	N	4	16	10	11	16	83	17	53	39	10	14	37
Fvb1:3645368-3645821	User_locus_111	N	3	4	6	6	2	23	8	11	8	3	1	3
Fvb1:3646887-3647062	User_locus_112	N	29	31	7	16	37	138	24	138	50	197	143	36
Fvb1:3775868-3776566	User_locus_113	N	102	71	75	41	18	120	52	370	202	293	224	55
Fvb1:3793661-3793943	User_locus_114	N	5	1	0	0	0	0	4	1	1	10	4	0
Fvb1:3834989-3835367	User_locus_115	N	18	13	11	2	27	74	25	62	55	79	56	29
Fvb1:3857716-3858314	User_locus_116	N	8	7	1	4	3	12	2	33	7	171	16	9
Fvb1:3869956-3870264	User_locus_117	N	56	38	34	25	13	109	40	146	205	311	211	43
Fvb1:3923513-3923926	User_locus_118	N	49	46	51	22	1	121	12	47	48	96	190	56
Fvb1:3947773-3948055	User_locus_119	N	24	17	14	14	9	19	21	88	50	76	85	30
Fvb1:3951923-3952295	User_locus_120	N	15	13	5	17	7	10	14	79	22	34	11	0
Fvb1:3971172-3971548	User_locus_121	N	49	24	26	26	11	44	6	55	32	63	100	51
Fvb1:3994755-3995234	User_locus_122	N	0	0	0	0	0	0	2	0	2	8	3	0
Fvb1:3996084-3996781	User_locus_123	N	21	8	9	8	7	25	4	52	19	37	37	8
Fvb1:4026489-4026881	User_locus_124	N	0	0	0	0	0	0	0	0	0	0	1	0
Fvb1:4032496-4032690	User_locus_125	N	5	2	6	5	0	3	1	14	3	20	23	7
Fvb1:4090170-4090488	User_locus_126	N	38	31	27	12	16	76	5	83	41	146	98	10
Fvb1:4142363-4142715	User_locus_127	N	78	63	48	40	24	57	28	158	178	191	102	47
Fvb1:4187497-4187920	User_locus_128	N	33	16	36	5	4	15	0	28	9	32	9	12
Fvb1:4193064-4193500	User_locus_129	N	7	1	21	31	0	11	5	84	0	52	31	14
Fvb1:4193528-4193818	User_locus_130	N	10	0	25	21	0	10	18	35	8	12	5	4
Fvb1:4193539-4194195	User_locus_131	N	80	61	207	139	70	64	89	137	268	183	36	21
Fvb1:4194248-4194675	User_locus_132	N	8	6	14	5	1	3	1	11	22	23	30	12
Fvb1:4324066-4324716	User_locus_133	N	164	133	90	49	28	105	1	86	182	495	227	38
Fvb1:4337754-4338051	User_locus_134	N	22	14	17	5	0	26	0	17	12	35	18	6
Fvb1:4357694-4358036	User_locus_135	N	28	31	9	2	7	23	0	23	43	102	87	42
Fvb1:4358050-4358442	User_locus_136	N	23	5	13	1	5	30	0	32	21	67	52	14
Fvb1:4452431-4452766	User_locus_137	N	2	12	0	1	0	8	14	54	32	51	58	3
Fvb1:4452835-4453269	User_locus_138	N	42	8	42	1	3	64	0	100	88	77	41	12
Fvb1:4453271-4453671	User_locus_139	N	13	15	9	4	13	5	0	1	5	38	39	17
Fvb1:4454036-4454514	User_locus_140	N	5	13	17	2	1	10	9	75	11	24	7	7
Fvb1:4477640-4477890	User_locus_141	N	123	100	109	61	30	152	38	184	166	413	265	53
Fvb1:4536672-4536997	User_locus_142	N	2	2	3	8	2	29	1	48	10	12	18	11
Fvb1:4540693-4540890	User_locus_143	N	29	14	58	1	0	21	18	45	30	93	13	74
Fvb1:4540955-4541379	User_locus_144	N	0	0	12	0	6	0	11	34	2	33	11	0
Fvb1:4604408-4604883	User_locus_145	N	40	41	41	20	46	257	62	519	274	571	391	149
Fvb1:4606975-4607397	User_locus_146	N	780	714	287	125	274	1088	437	920	730	664	122	47
Fvb1:4614534-4614789	User_locus_147	N	11	2	7	0	2	14	1	12	0	44	9	0
Fvb1:4683006-4683703	User_locus_148	N	0	0	5	5	1	3	7	21	5	32	72	52
Fvb1:4683753-4684438	User_locus_149	N	20	16	17	9	0	1	1	4	0	9	41	27
Fvb1:4685968-4686103	User_locus_150	N	0	0	0	0	0	2	1	0	0	4	3	0
Fvb1:4686445-4686635	User_locus_151	N	8	3	6	5	2	11	6	40	54	62	49	16
Fvb1:4710347-4711042	User_locus_152	N	109	71	55	28	32	54	32	159	228	169	76	20
Fvb1:4786709-4787407	User_locus_153	N	78	58	56	32	18	119	41	200	186	415	184	81
Fvb1:4794015-4794436	User_locus_154	N	21	10	24	48	22	143	30	64	74	187	93	13
Fvb1:4799493-4799907	User_locus_155	N	0	1	0	1	6	25	19	162	34	65	35	6
Fvb1:4836562-4837004	User_locus_156	N	5	7	3	1	1	13	1	9	7	47	35	5
Fvb1:4840864-4841070	User_locus_157	N	0	0	1	8	0	0	4	4	12	10	8	0
Fvb1:4924269-4924638	User_locus_158	N	48	18	29	22	9	90	6	147	77	202	133	54
Fvb1:4927242-4927651	User_locus_159	N	17	12	12	0	38	140	85	230	110	124	100	46
Fvb1:4927652-4928048	User_locus_160	N	183	151	142	69	72	303	63	321	337	486	352	144
Fvb1:4933806-4934254	User_locus_161	N	5	4	4	7	0	0	0	25	17	49	26	9
Fvb1:4974332-4975030	User_locus_162	N	3	6	1	0	3	14	0	42	10	67	54	22
Fvb1:5076672-5077065	User_locus_163	N	35	35	24	9	6	27	3	49	40	109	39	36
Fvb1:5077066-5077468	User_locus_164	N	30	22	17	7	9	82	17	126	65	121	169	27
Fvb1:5113517-5113809	User_locus_165	N	1	0	7	16	0	12	14	4	19	0	30	5
Fvb1:5114535-5115005	User_locus_166	N	0	0	0	0	0	0	0	0	0	2	0	2
Fvb1:5290949-5291647	User_locus_167	N	8	15	1	2	0	5	5	15	10	26	22	7
Fvb1:5321531-5321956	User_locus_168	N	61	46	27	0	43	125	51	351	171	422	283	58
Fvb1:5376824-5377202	User_locus_169	N	8	3	5	7	9	0	4	29	19	22	0	4
Fvb1:5377211-5377573	User_locus_170	N	8	2	17	18	7	2	39	74	17	41	17	4
Fvb1:5377573-5378274	User_locus_171	N	6	16	21	1	10	45	8	34	14	46	73	26
Fvb1:5383036-5383696	User_locus_172	N	65	43	31	23	4	215	1	117	19	199	130	32
Fvb1:5423701-5423955	User_locus_173	N	0	0	0	10	0	0	0	1	0	0	0	0
Fvb1:5450226-5450683	User_locus_174	N	0	0	1	0	3	2	1	7	2	17	9	0
Fvb1:5450698-5451048	User_locus_175	N	23	22	25	29	49	135	12	262	103	234	234	115
Fvb1:5452927-5453294	User_locus_176	N	2	0	0	6	9	15	10	73	47	61	48	8
Fvb1:5494029-5494415	User_locus_177	N	57	41	32	71	10	38	23	175	125	355	200	21
Fvb1:5524236-5524706	User_locus_178	N	0	0	0	0	0	7	2	0	5	23	16	8
Fvb1:5555965-5556333	User_locus_179	N	46	24	33	19	8	73	5	52	62	118	111	26
Fvb1:5562191-5562578	User_locus_180	N	10	13	5	4	11	19	21	91	54	130	64	31
Fvb1:5687366-5687578	User_locus_181	N	16	19	39	6	13	17	19	93	44	102	53	77
Fvb1:5806405-5806696	User_locus_182	N	43	8	27	4	0	1	29	14	36	99	138	19
Fvb1:5806719-5807420	User_locus_183	N	98	47	51	35	0	9	2	9	33	196	55	14
Fvb1:5884486-5884667	User_locus_184	N	2	0	2	0	2	0	4	18	0	7	2	0
Fvb1:5906716-5907243	User_locus_185	N	1	0	2	0	0	1	0	2	0	1	0	3
Fvb1:5931585-5931897	User_locus_186	N	0	0	0	2	0	2	0	0	1	2	0	0
Fvb1:5936240-5936440	User_locus_187	N	0	0	0	0	0	0	0	0	0	0	0	0
Fvb1:5936857-5937186	User_locus_188	N	55	23	30	27	0	22	3	34	36	93	49	10
Fvb1:5964588-5965010	User_locus_189	N	5	0	7	0	0	0	0	6	0	1	8	0
Fvb1:5995610-5996249	User_locus_190	N	48	31	20	26	3	12	0	43	18	69	67	15
Fvb1:5996749-5997105	User_locus_191	N	1	0	0	1	0	0	0	4	3	6	2	3
Fvb1:6004190-6004688	User_locus_192	N	17	10	8	26	27	196	42	342	225	528	250	93
Fvb1:6010585-6010972	User_locus_193	N	50	11	44	4	18	55	6	56	22	199	74	29
Fvb1:6018379-6018588	User_locus_194	N	0	0	0	0	0	7	0	11	0	4	5	6
Fvb1:6142221-6142501	User_locus_195	N	74	52	51	35	18	87	58	297	229	448	318	73
Fvb1:6146952-6147597	User_locus_196	N	49	34	25	11	10	36	6	38	86	123	95	7
Fvb1:6149637-6150235	User_locus_197	N	56	37	36	18	17	71	3	58	41	132	115	16
Fvb1:6155603-6156301	User_locus_198	N	147	110	121	80	24	77	9	96	95	374	297	49
Fvb1:6237159-6237531	User_locus_199	N	3	1	2	2	1	21	0	6	3	16	10	2
Fvb1:6240808-6241191	User_locus_200	N	3	10	5	13	2	31	11	23	35	41	42	5
Fvb1:6241192-6241893	User_locus_201	N	27	40	56	28	2	35	33	125	107	147	63	22
Fvb1:6266370-6267067	User_locus_202	N	8	8	6	4	12	15	3	37	45	47	44	5
Fvb1:6324046-6324744	User_locus_203	N	1	3	4	0	0	1	0	9	14	12	5	4
Fvb1:6385131-6385827	User_locus_204	N	2	0	0	8	0	0	1	3	5	6	0	4
Fvb1:6386297-6386785	User_locus_205	N	9	17	13	13	9	30	27	104	53	151	88	32
Fvb1:6492961-6493206	User_locus_206	N	8	3	14	11	0	0	9	14	3	4	0	0
Fvb1:6524017-6524171	User_locus_207	N	1	0	1	1	0	0	1	51	25	52	6	0
Fvb1:6529331-6529760	User_locus_208	N	3	0	1	2	1	2	0	1	4	10	8	2
Fvb1:6534080-6534280	User_locus_209	N	0	0	0	0	0	0	0	0	0	0	0	0
Fvb1:6577838-6578286	User_locus_210	N	0	0	1	1	0	0	0	8	2	6	0	0
Fvb1:6578293-6578686	User_locus_211	N	0	2	0	0	1	5	0	3	10	39	14	0
Fvb1:6578706-6579033	User_locus_212	N	7	6	0	4	0	20	8	30	31	20	12	7
Fvb1:6587050-6587463	User_locus_213	N	20	22	16	22	21	85	7	57	28	54	79	24
Fvb1:6617204-6617468	User_locus_214	N	10	0	18	1	1	0	0	0	7	10	3	0
Fvb1:6622575-6623083	User_locus_215	N	11	25	17	0	9	16	10	71	28	48	43	15
Fvb1:6675542-6675847	User_locus_216	N	83	55	35	29	36	151	8	77	79	141	81	23
Fvb1:6680312-6680783	User_locus_217	N	41	62	37	0	0	34	15	26	13	46	31	2
Fvb1:6713068-6713507	User_locus_218	N	236	203	151	103	52	432	92	737	541	970	1176	450
Fvb1:6781815-6782415	User_locus_219	N	57	48	30	26	5	59	6	78	79	215	87	30
Fvb1:6782434-6783135	User_locus_220	N	18	10	9	2	0	27	7	27	8	46	9	3
Fvb1:6783140-6783465	User_locus_221	N	58	32	25	20	2	29	3	34	18	95	21	8
Fvb1:6898450-6899147	User_locus_222	N	7	5	1	5	4	7	0	2	9	7	3	0
Fvb1:6952479-6952924	User_locus_223	N	1	4	1	5	1	2	0	15	0	4	3	0
Fvb1:6966833-6967481	User_locus_224	N	8	7	2	0	4	6	2	9	20	25	3	2
Fvb1:7099239-7099637	User_locus_225	N	25	29	12	1	4	27	9	115	79	93	16	18
Fvb1:7099673-7100003	User_locus_226	N	0	2	9	4	0	0	4	38	10	14	5	0
Fvb1:7141242-7141919	User_locus_227	N	15	8	16	4	0	21	2	25	13	33	26	15
Fvb1:7145156-7145564	User_locus_228	N	3	2	1	1	0	19	5	0	0	7	16	14
Fvb1:7181268-7181803	User_locus_229	N	0	0	0	1	0	1	1	2	0	6	2	1
Fvb1:7234361-7234650	User_locus_230	N	48	22	55	11	2	41	7	29	18	71	34	9
Fvb1:7356980-7357674	User_locus_231	N	10	3	8	3	1	32	5	31	4	28	28	14
Fvb1:7370081-7370537	User_locus_232	N	9	9	3	1	2	2	8	55	28	33	19	9
Fvb1:7481755-7482188	User_locus_233	N	115	104	26	33	3	199	50	465	158	437	364	121
Fvb1:7507488-7508185	User_locus_234	N	75	53	53	14	36	89	17	161	92	202	81	28
Fvb1:7561695-7562187	User_locus_235	N	52	37	36	24	0	14	3	59	31	77	52	9
Fvb1:7601937-7602322	User_locus_236	N	27	39	12	9	0	17	2	60	8	58	64	37
Fvb1:7657525-7657892	User_locus_237	N	118	66	52	33	30	128	3	50	26	201	176	26
Fvb1:7689033-7689474	User_locus_238	N	63	47	39	22	58	29	30	121	97	221	134	28
Fvb1:7800352-7801049	User_locus_239	N	27	22	14	8	3	16	0	42	9	62	81	16
Fvb1:7815336-7815825	User_locus_240	N	64	101	2	1	18	109	12	51	53	50	21	0
Fvb1:7815826-7816216	User_locus_241	N	30	26	30	17	7	27	7	55	46	38	36	13
Fvb1:7815900-7816525	User_locus_242	N	29	33	31	16	7	56	22	97	68	51	32	14
Fvb1:7816592-7817016	User_locus_243	N	113	22	13	2	1	41	0	82	64	209	35	1
Fvb1:7842605-7842942	User_locus_244	N	33	13	16	3	0	7	0	12	7	18	13	2
Fvb1:7940584-7941064	User_locus_245	N	33	5	2	10	4	30	0	44	46	29	16	17
Fvb1:7941213-7941910	User_locus_246	N	25	12	7	5	7	37	4	34	7	44	17	17
Fvb1:7944837-7945332	User_locus_247	N	47	45	37	35	2	77	0	134	66	128	66	34
Fvb1:7952906-7953338	User_locus_248	N	162	110	141	54	3	5	27	121	120	220	165	42
Fvb1:7963273-7963652	User_locus_249	N	101	135	120	83	73	195	111	347	408	570	271	78
Fvb1:7963671-7964057	User_locus_250	N	9	19	3	20	0	8	26	29	33	27	1	0
Fvb1:7964078-7964451	User_locus_251	N	23	8	8	7	8	5	0	9	0	15	27	3
Fvb1:7988595-7988840	User_locus_252	N	1	0	1	1	0	0	0	3	2	2	2	2
Fvb1:8029785-8030203	User_locus_253	N	16	6	1	0	12	4	16	44	61	50	15	3
Fvb1:8046726-8047423	User_locus_254	N	19	18	10	5	4	33	3	51	21	33	66	11
Fvb1:8064944-8065300	User_locus_255	N	6	8	3	4	0	0	0	6	13	35	9	1
Fvb1:8065405-8065735	User_locus_256	N	3	8	13	5	15	21	0	25	47	46	20	0
Fvb1:8065758-8066172	User_locus_257	N	7	19	18	0	1	83	13	151	130	142	287	79
Fvb1:8111254-8111648	User_locus_258	N	165	194	249	190	17	128	53	485	630	1065	890	165
Fvb1:8121260-8121650	User_locus_259	N	72	50	57	38	36	137	27	127	119	282	288	55
Fvb1:8154638-8155335	User_locus_260	N	0	0	0	0	3	0	0	4	0	5	8	3
Fvb1:8160087-8160350	User_locus_261	N	5	13	10	17	0	11	11	37	12	41	25	36
Fvb1:8181353-8181877	User_locus_262	N	0	2	1	0	0	0	0	0	0	1	2	0
Fvb1:8201818-8202279	User_locus_263	N	6	4	2	5	4	8	0	19	4	35	44	8
Fvb1:8203090-8203470	User_locus_264	N	30	0	5	2	0	34	0	10	9	37	24	0
Fvb1:8309431-8309903	User_locus_265	N	11	22	9	7	4	53	8	41	22	55	27	19
Fvb1:8331479-8331697	User_locus_266	N	1	4	2	0	0	0	0	34	3	41	14	1
Fvb1:8346092-8346494	User_locus_267	N	15	21	13	15	0	8	14	89	48	113	47	16
Fvb1:8346501-8346893	User_locus_268	N	0	1	0	0	4	0	0	0	0	5	0	1
Fvb1:8346648-8347194	User_locus_269	N	9	6	1	1	4	0	3	15	1	14	26	0
Fvb1:8347335-8347787	User_locus_270	N	101	66	61	28	47	19	288	429	252	157	7	0
Fvb1:8347788-8348312	User_locus_271	N	149	186	109	86	13	168	512	1010	909	397	70	36
Fvb1:8348314-8348795	User_locus_272	N	145	133	84	18	6	123	10	103	62	382	111	31
Fvb1:8372302-8372760	User_locus_273	N	0	5	0	5	1	0	0	0	1	0	2	5
Fvb1:8373003-8373566	User_locus_274	N	17	11	25	24	1	9	9	39	12	31	2	4
Fvb1:8373567-8373881	User_locus_275	N	624	654	355	245	120	345	157	579	787	632	37	11
Fvb1:8424747-8425189	User_locus_276	N	73	52	56	23	15	71	35	173	160	348	203	48
Fvb1:8451118-8451426	User_locus_277	N	0	0	0	0	0	0	0	0	0	0	0	0
Fvb1:8466113-8466562	User_locus_278	N	4	4	0	3	0	19	33	39	4	30	6	1
Fvb1:8479818-8480108	User_locus_279	N	0	0	0	0	0	0	0	3	0	3	1	0
Fvb1:8494471-8494911	User_locus_280	N	15	35	4	2	2	14	7	29	21	67	28	5
Fvb1:8504677-8505094	User_locus_281	N	21	4	7	1	1	50	3	27	41	42	40	3
Fvb1:8507198-8507501	User_locus_282	N	11	18	9	12	8	7	0	19	7	80	40	11
Fvb1:8508041-8508478	User_locus_283	N	16	5	6	7	1	8	6	42	70	133	124	15
Fvb1:8508534-8509153	User_locus_284	N	33	61	340	278	20	19	90	37	316	249	11	164
Fvb1:8511500-8511734	User_locus_285	N	7	7	4	8	0	0	3	24	30	16	8	0
Fvb1:8512012-8512358	User_locus_286	N	22	0	0	9	0	0	1	65	20	58	19	20
Fvb1:8583795-8584436	User_locus_287	N	26	36	44	29	23	54	4	53	7	143	84	25
Fvb1:8636727-8637034	User_locus_288	N	16	5	19	12	0	23	9	61	38	36	54	0
Fvb1:8708239-8708807	User_locus_289	N	82	49	37	0	0	40	0	83	64	116	95	81
Fvb1:8808523-8808948	User_locus_290	N	20	13	10	10	0	12	10	43	17	34	46	4
Fvb1:8827871-8828568	User_locus_291	N	12	3	0	5	1	28	1	27	5	39	5	5
